gamma,lam,vf_coef,ent_coef,final_mean_reward,num_episodes,final_policy_loss,final_value_loss
0.91,0.99,0.9,0.01,-246.13669400540027,64,0.10277332365512848,84.85133361816406
0.91,0.99,0.9,0.1,-242.291233753046,65,0.18045462667942047,72.20951080322266
0.95,0.91,0.1,0.001,-265.5966862835835,64,-0.08337517082691193,54.162654876708984
0.95,0.91,0.1,0.01,-262.3155274703953,64,0.2589307725429535,215.65895080566406
0.95,0.91,0.1,0.1,-241.1171396879637,65,-0.11671653389930725,80.23468017578125
0.95,0.91,0.5,0.001,-236.63315402236333,65,0.19034501910209656,66.01917266845703
0.95,0.91,0.5,0.01,-247.14808641997047,65,-0.1582764834165573,83.65267944335938
0.95,0.91,0.5,0.1,-245.81582218926894,64,0.1466759443283081,59.12718200683594
0.95,0.91,0.9,0.001,-247.06529807016187,64,0.17258714139461517,37.253089904785156
0.95,0.91,0.9,0.01,-245.65657816929235,65,-0.07483711838722229,33.993202209472656
0.95,0.91,0.9,0.1,-251.51689932085068,64,-0.1591063141822815,78.89881896972656
0.95,0.95,0.1,0.001,-235.25380737491443,65,-0.332545667886734,29.423511505126953
0.95,0.95,0.1,0.01,-246.62395762748667,65,0.1383914351463318,208.98135375976562
0.95,0.95,0.1,0.1,-243.88267549769478,65,-0.5668303370475769,64.40037536621094
0.95,0.95,0.5,0.001,-254.05240757201352,64,0.3902653753757477,65.31240844726562
0.95,0.95,0.5,0.01,-253.95830013432658,64,0.1330794394016266,114.03565979003906
0.95,0.95,0.5,0.1,-248.3928193337286,65,0.05161133408546448,73.2430191040039
0.95,0.95,0.9,0.001,-262.9648677737835,64,-0.29281851649284363,168.23057556152344
0.95,0.95,0.9,0.01,-247.97195701359487,65,-0.423852801322937,41.084129333496094
0.95,0.95,0.9,0.1,-259.4739892645678,64,-0.09366117417812347,18.983070373535156
0.95,0.97,0.1,0.001,-257.3697664374519,64,-0.1278398334980011,63.55476379394531
0.95,0.97,0.1,0.01,-247.80609617472902,65,-0.2694517970085144,87.59613037109375
0.95,0.97,0.1,0.1,-242.56202192415938,65,-0.017361491918563843,22.021343231201172
0.95,0.97,0.5,0.001,-255.3307296671681,64,-0.24273090064525604,85.32225036621094
0.95,0.97,0.5,0.01,-244.47579641842964,64,0.15021973848342896,167.4306640625
